診療項目代碼,健保支付點數,開始日期,結束日期,英文項目名稱,中文項目名稱,附註
12145B,0000400,20031201,29101231,Direct cytotoxicity,直接細胞毒殺試驗,
12146B,0000400,20120101,29101231,IgG1,免疫球蛋白G1量,
12147B,0000400,20120101,29101231,IgG2,免疫球蛋白G2量,
12148B,0000400,20120101,29101231,IgG3,免疫球蛋白G3量,
12149B,0000400,20120101,29101231,IgG4,免疫球蛋白G4量,
12150B,0002000,20120101,29101231,Amino acids analysis (quantitative),胺基酸定量檢查,1.限衛生福利部委託具優生保健諮詢中心之醫院申請實施。2.限由小兒科遺傳專科醫師主持。3.本項目如已申請衛生福利部補助者，本保險不另支付該次檢查費用。4.如做為一般性篩檢者，非屬本保險給付範圍。
12151B,0000400,20120101,20170430,Homocysteine,同半胱胺酸,停止原因：診療項目代碼變更為12151C
12151C,0000400,20170501,29101231,Homocysteine,同半胱胺酸,除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
12152B,0004500,20031201,29101231,In vitro IgG, A, M synthesis,,
12153B,0001000,20031201,29101231,MLC (Mixed lymphocyte culture),混合淋巴球雙向培養,
12154B,0000600,20120101,29101231,Anti Jo-1 antibody,可抽出之核抗體Jo-1,
12155B,0000600,20031201,29101231,KI, KJ (ID),可抽出之核抗體KI,KU(免疫擴滲分析法),
12156B,0000600,20120101,29101231,Ribosomal-P Ab,Ribosomal-P抗體,
12157B,0000900,20120101,29101231,IEP for CSF Immunoglobulin,腦脊髓液免疫球蛋白免疫電泳,
12158B,0000900,20120101,29101231,IEP for Urine Immunoglobulin,尿液免疫球蛋白免疫電泳,
12159B,0000900,20031201,29101231,Urine immunofixation electrophoresis,尿液免疫固定電泳分析,
12160B,0000900,20120101,29101231,Immunoglobulin κ/λ,免疫球蛋白κ/λ,
12161B,0000405,20120101,29101231,IL-2,白血球介質-2,
12162B,0000405,20120101,29101231,TNF,組織壞死因子,
12163B,0000400,20031201,29101231,HTLV-1 antibody (qualitative),第一型人類嗜T細胞抗體(定性),
12164B,0000275,20120101,29101231,Lipoprotein a,脂蛋白a,
12165B,0000200,20120101,29101231,Streptococcus group A antigen (EIA),A群鏈球菌抗原,
12166B,0000200,20120101,29101231,Meningococcal Ag,腦膜炎雙球菌抗原,
12167B,0000200,20031201,29101231,Histoplasma capsutatum Ab test,組織胞漿菌抗體檢查,
12168B,0000200,20031201,29101231,Blastomycosis Ab test,芽生菌抗體檢查,
12169B,0000200,20031201,29101231,C. immitis Ab test,球孢子菌抗體檢查,
12170B,0000200,20031201,29101231,Aspergillus Ab test,麴菌抗體檢查,
12171B,0000380,20031201,29101231,ANCA (Anti-nutrophil cytoplasmic Ab),抗嗜中性球細胞質抗體,
12172B,0000320,20120101,20170430,Pneumococcus Ag (urine),尿液肺炎球菌抗原,停止原因：診療項目代碼變更為12172C
12172C,0000320,20170501,29101231,Pneumococcus Ag (urine),尿液肺炎球菌抗原,除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
12173B,0000561,20040701,29101231,Anti-ENA,Sm/RNP  Ab,可抽出的核抗體測定— Sm/RNP  抗體,
12174B,0000507,20040701,29101231,Anti-ENA,Scl-70  Ab,可抽出的核抗體測定— Scl-70    抗體,
12175B,0001940,20040701,29101231,Lymphocyte transformation-Antigen stimulation,淋巴球變形反應—抗原刺激,
12176B,0003285,20121001,29101231,HLA-ABC single antigen,人類白血球抗原 － HLA-ABC(單一抗原),1.保險對象接受器官移植申報12087B及12176B時，除父母、兄弟姐妹等各給付一次外，另確定為捐贈者最高可申報給付共3次。2.12088B及12177B需俟12087B及12176B檢查後配合相合者，如有需要另行檢查。
12177B,0002849,20121001,29101231,HLA-DR single antigen,人類白血球抗原 － HLA-DR(單一抗原),1.保險對象接受器官移植申報12087B及12176B時，除父母、兄弟姐妹等各給付一次外，另確定為捐贈者最高可申報給付共3次。2.12088B及12177B需俟12087B及12176B檢查後配合相合者，如有需要另行檢查。
12178C,0000350,20040701,29101231,Adrenal antibody,腎上腺抗體,
12179C,0000250,20120101,29101231,Aspergillus Ag,Aspergillus 抗原測定,
12180C,0000397,20040701,29101231,Glutamic acid decarboxylase autoantibody,穀醯酸脫梭脢抗體,
12181C,0000300,20040701,29101231,Acetylcholine receptor antibody,乙醯膽鹼抗體,
12182C,0001000,20040701,29101231,DNA qualitative amplification test,去氧核糖核酸類定性擴增試驗,
12183C,0001200,20040701,29101231,RNA qualitative amplification test,核糖核酸類定性擴增試驗,
12184C,0002000,20040701,29101231,DNA quantitative amplification test,去氧核糖核酸類定量擴增試驗,
12185C,0002200,20040701,29101231,RNA quantitative amplification test,核糖核酸類定量擴增試驗,
12186C,0002000,20040701,29101231,Chromosomal translocation gene recombination analysis by southern blot,染色體轉位基因重組之南方墨點法分析,
12187C,0004500,20040701,29101231,STR polymorphism analysis,短片段重覆序列多型性分析,
12188C,0001200,20040701,29101231,Chromosomal translocation fusion gene  analysis by RT-PCR,染色體轉位融合基因之反轉錄聚合脢連鎖反應分析,
12189C,0000300,20120101,29101231,Chlamydia pneumoniae Ab IgM,肺炎披衣菌IgM,
12190C,0000300,20120101,29101231,Chlamydia pneumoniae Ab IgG,肺炎披衣菌IgG,
12191C,0000400,20120101,29101231,Legionella pneumophila Ag (urine),尿液退伍軍人菌抗原,適應症：1.非典型肺炎。2.一般治療肺炎之抗生素使用後，病情持續惡化者。
12192C,0001000,20120101,29101231,Procalcitonin (PCT),前降鈣素原,
12193B,0000800,20120101,29101231,Pro-BNP/(BNP),B型利納肽(B型利納利尿胜肽),
12194B,0000500,20090101,29101231,Tandem Mass Analysis of Metabolites,代謝產物串聯質譜儀分析,1.限衛生福利部委託具優生保健諮詢中心之醫院申請實施2.限由遺傳專科醫師主持3.本項目如已申請衛生福利部補助者，本保險不另支付該次檢查費用4.如作為一般性篩檢者，非屬本保險給付範圍。
12195B,0010400,20121201,29101231,Her-2/neu in situ hybridization(ISH),Her-2/neu 原位雜交,適應症：1.乳癌中之invasive carcinoma(侵襲性癌)2.本法為IHC染色結果之輔助檢查方法，不可單獨使用3.此法僅適用於Her-2/neu IHC score為2+之乳癌患者。
12196B,0002648,20130601,29101231,HLA-B 1502 gene typing,HLA-B 1502 基因檢測,1.適應症：癲癇症、三叉神經痛、腎原性尿崩症及雙極性之精神疾患初次需使用含卡馬西平Carbamazepine成份藥物病患申報。2.每人限申報一次，需於健保卡藥物過敏欄註記藥物過敏基因型。
12197B,0001500,20140801,29101231,TDM - Everolimus,血中藥物濃度測定-Everolimus,註：1.測定移植病人器官移植後抗排斥用藥Certican濃度。2.罕見疾病結節性硬化症患者經本保險核准使用Everolimus者亦適用。
12198C,0000400,20120101,29101231,Free PSA (EIA/LIA),游離攝護腺特異抗原,
12199B,0002000,20120101,29101231,MICA Antibody Screening,人類組織相容複合物Ι類鏈相關基因A抗體篩檢,1.臟器移植接受者術前評估，且PRA60%以上，限申報1次為原則。2.限臟器移植接受者術後產生排斥現象，且PRA上升，當次排斥限申報1次為原則。
12200,0002949,20120101,29101231,Human Leukocyte Panel Reactive Antibodies Percentage screening test,人類白血球群體反應性抗體百分比篩檢試驗,1.臟器移植接受者術前評估，每6個月內限申報1次為原則。2.限臟器移植接受者術後產生排斥反應時檢測。
12200B,0002949,20120101,29101231,Human Leukocyte Panel Reactive Antibodies Percentage screening test,人類白血球群體反應性抗體百分比篩檢試驗,1.臟器移植接受者術前評估，每6個月內限申報1次為原則。2.限臟器移植接受者術後產生排斥反應時檢測。
12201B,0000700,20120101,29101231,Anti-cyclic citrullinated peptide,抗環瓜氨酸月太抗體,1.原因不明之關節炎且RF為陰性。2.RF陽性，但仍未符合類風濕診斷，需區分／鑑別是否為其他原因。3.每位患者僅給付一次，疑似RA者，每年最多檢查1次。4.限風濕病專科醫師。
12202B,0002450,20130601,29101231,HCV Genotyping Test（RealTime PCR）,C型肝炎病毒核酸基因檢測－即時聚合酉每連鎖反應法,適應症：1.疑似感染C型肝炎(包含急性、慢性，及未知原因感染者)且C型肝炎核酸病毒量檢測結果為陽性患者。2.未做過基因型檢測的C型肝炎陽性確定患者。
12203B,0001280,20130601,29101231,HCV Genotyping Test（PCR）,C型肝炎病毒核酸基因檢測－一般聚合酉每連鎖反應法,適應症：1.疑似感染C型肝炎(包含急性、慢性，及未知原因感染者)且C型肝炎核酸病毒量檢測結果為陽性患者。2.未做過基因型檢測的C型肝炎陽性確定患者。
12204B,0004000,20140801,29101231,Leukocyte surface marker,白血球表面標記,成熟與不成熟Ｔ及Ｂ或顆粒球與單核球等單源抗體之使用量-11-20種
12205B,0006000,20140801,29101231,Leukocyte surface marker,白血球表面標記,成熟與不成熟Ｔ及Ｂ或顆粒球與單核球等單源抗體之使用量-21-30種
12206B,0008000,20140801,29101231,Leukocyte surface marker,白血球表面標記,成熟與不成熟Ｔ及Ｂ或顆粒球與單核球等單源抗體之使用量-31種以上
12207B,0003571,20151201,29101231,RQ-PCR(Real Time Quantitative PCR)for leukemia,白血病即時定量聚合酶連鎖反應法,註：1.適應症：(1)含有BCR-ABL1之慢性骨髓性白血病(chronic myelogenous leukemia，CML)與急性白血病。(2)含有PML-RARA、RUNX1-ETO、與CBFB-MYH11之急性骨髓性白血病(acute myeloid leukemia，AML)。2.支付規範：限具有通過CAP (美國病理學會，The College of American Pathologists)或TAF(財團法人全國認證基金會Taiwan Accreditation Foundation)認證之分子實驗室院所申報。
12208B,0000800,20170301,29101231,,生長刺激表達基因2蛋白(ST2),1.適應症：慢性心臟衰竭NYHA Class III或ACC/AHA Stage D以上且病情急性惡化。2.支付規範：不得同時申報編號12193B。
13,0000250,20070101,29101231,,,註:本項業務自95.1.1起移歸國民健康局辦理。
13001C,0000040,19950301,29101231,Sputum Routine (Include Crystal, Parasite),痰液一般檢查（含括結晶， 寄生蟲）,
13002B,0000320,20120101,29101231,Amoebic Ab (IHA),阿米巴抗體凝集試驗,
13003B,0000320,19950301,29101231,Cryptococcus neoformans antigen test,新型隱球菌抗原,
13004B,0000090,20040701,29101231,Virulence test for c. diphtherise,白喉毒力試驗,
13005B,0000360,19970301,29101231,DNA test for chlamydia (qualitative),披衣菌檢查（定性）,
13006C,0000045,19950301,29101231,,排泄物，滲出物及分泌物之細菌顯微鏡檢查,1.此項檢查係指對糞便，喀痰，穿刺液，胃液,十二指腸液，膽汁，膿，眼分泌液，鼻腔液,咽喉液，唾液，及其他滲出物中細菌，原蟲等的檢查。2.同一檢體之檢查不論有無染色及方法如何，均限申報一次。
13007C,0000200,20020501,29101231,,細菌培養鑑定檢查（包括一般細菌、真菌、原蟲等為對象的培養鑑定，抗酸菌除外）,１．一般厭氧性的培養比照申報。２．對同一檢體合併實施一般培養及厭氧性培養時加算二分之一。
13008B,0000100,19950301,20170430,,細菌培養鑑定檢查（包括一般細菌、真菌、原蟲等為對象的培養鑑定，抗酸菌除外），對同一檢體合併實施一般培養及厭氧性培養時加算,1.一般厭氧性的培養比照申報。2.對同一檢體合併實施一般培養及厭氧性培養時加算二分之一。停止原因：診療項目代碼變更為13008C
13008C,0000100,20170501,29101231,,細菌培養鑑定檢查（包括一般細菌、真菌、原蟲等為對象的培養鑑定，抗酸菌除外），對同一檢體合併實施一般培養及厭氧性培養時加算二分之一,1.一般厭氧性的培養比照申報。2.13008C除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
13009B,0000150,19950301,20170430,,細菌藥物敏感性試驗－ 1 菌種,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。停止原因：診療項目代碼變更為13009C
13009C,0000150,20170501,29101231,,細菌藥物敏感性試驗－ 1 菌種,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。4.除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
13010B,0000230,19950301,20170430,,細菌藥物敏感性試驗－ 2 菌種,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。停止原因：診療項目代碼變更為13010C
13010C,0000230,20170501,29101231,,細菌藥物敏感性試驗－ 2 菌種,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。4.除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
13011B,0000300,19950301,20170430,,細菌藥物敏感性試驗－ 3 菌種以上,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。停止原因：診療項目代碼變更為13011C
13011C,0000300,20170501,29101231,,細菌藥物敏感性試驗－ 3 菌種以上,1.細菌藥物感受性檢查結果，若無法檢測出細菌時，不可申報此項。2.此項之申報是以細菌培養鑑定所鑑定的菌種中實際實施細菌藥物感受性試驗的菌種數來申報。3.試驗的藥物須至少有三分之一以上是第一代之抗生素。4.除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
13012C,0000180,20020501,29101231,Acid-fast culture,抗酸菌培養,
13013C,0000200,20020501,29101231,,抗酸菌鑑定檢查,
13014B,0000280,19950301,29101231,Sensitivity test of acid-fast,抗酸菌藥物敏感性試驗—三種藥物以下,
13015C,0000350,20020501,29101231,Sensitivity test of acid-fast,抗酸菌藥物敏感性試驗—四種藥物以上,
13016B,0000380,20170501,29101231,,血液培養,1.限對同一血液檢體合併實施厭氧及需氧檢查且使用血液培養瓶者申報。2.申報本項者，不得另行申報13007C、13008C。
13017B,0000045,20031201,20170430,KOH preparation,KOH顯微鏡檢查,停止原因：診療項目代碼變更為13017C
13017C,0000045,20170501,29101231,KOH preparation,KOH顯微鏡檢查,除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
13018C,0000200,20120101,29101231,Helicobacter pyroli test (Clo test),幽門桿菌檢驗,
13019B,0000150,20120101,29101231,Sensitivity test (tube method),試管抗藥性試驗,
13020C,0000150,20170501,29101231,Bacteria MIC test (1 species) [(minimum inhibitory concentration MIC)],抗生素敏感性試驗(MIC法) 一菌種【抗微生物藥劑最低抑菌濃度 MIC】,不得同時申報13009C-13011C。
13021B,0000230,20170501,29101231,Bacteria MIC test (2 species) [(minimum inhibitory concentration MIC)],抗生素敏感性試驗(MIC法)  二菌種【抗微生物藥劑最低抑菌濃度 MIC】,不得同時申報13009C-13011C。
13022B,0000300,20170501,29101231,Bacteria MIC test (3 species) [(minimum inhibitory concentration MIC)],抗生素敏感性試驗(MIC法)  三菌種以上【抗微生物藥劑最低抑菌濃度 MIC)】,不得同時申報13009C-13011C。
13023C,0000300,20040701,29101231,Bacterial minimal inhibition concentration rapid detection,細菌最低抑制濃度快速試驗,
13024C,0000200,20040701,29101231,Tuberculosis（T.B）test,結核菌檢驗,
13025C,0000074,20130301,29101231,,抗酸性濃縮抹片染色檢查,註：1.適應症：(1)懷疑分枝桿菌感染。(2)分枝桿菌治療監控。2.相關規範：(1)需在負壓實驗室操作。(2)需附抗酸菌濃縮抹片染色檢查報告。(3)不得與13006C同時申報。(4)限疾管局認可之結核病檢驗機構執行。
13026C,0000304,20130301,29101231,,抗酸菌培養(限同時使用固態培養基及具自動化偵測功能之液態培養系統),註：1.適應症：(1)懷疑分枝桿菌感染。(2)分枝桿菌治療監控。2.相關規範：(1)需在負壓實驗室操作，且具自動化偵測之液態培養基系統。(2)需附抗酸菌培養報告。(3)不得與13012C同時申報。(4)限疾管局認可之結核病檢驗機構執行。
13028B,0000402,20170301,29101231,Clostridium Difficile GDH Ag rapid test,困難梭狀桿菌抗原快速檢驗（GDH）,1.結腸炎、偽膜性結腸炎、中毒性巨結腸及結腸穿孔。2.抗生素治療後發生腹瀉症狀。3.懷疑C.difficile群聚感染。
13029B,0000402,20170301,29101231,Clostridium Difficile Toxin A/B rapid test,困難梭狀桿菌毒素A、B快速檢驗（Toxin A/B）,1.結腸炎、偽膜性結腸炎、中毒性巨結腸及結腸穿孔。2.抗生素治療後發生腹瀉症狀。3.懷疑C.difficile群聚感染。
14001B,0000350,20040701,29101231,Isolation and identification of virus,病毒分離及鑑定,
14002B,0000100,20040701,29101231,Adenovirus CF Ab,腺病毒補體結合抗體,
14003B,0000135,19950301,29101231,Cytomegalovirus CMV CF Ab,巨大細胞病毒抗體  補體結合法,
14004B,0000240,19950301,29101231,Cytomegalovirus CMV  EIA,巨大細胞病毒抗體  酵素免疫法,
14005C,0000135,20040701,29101231,Herpes simpliex virus CF HSV Ab (each),單純庖疹病毒I II補體結合抗體(各項),
14006B,0000150,19950301,29101231,Measles virus Ag,麻疹病毒抗原,
14007B,0000750,19950301,29101231,Measles virus IgM Ab,麻疹病毒IgM抗體,
14008B,0000135,19950301,29101231,Measles CF virus Ab,麻疹病毒補體結合抗體,
14009C,0000200,20040701,29101231,Mumps CF virus Ab,腮腺炎病毒補體結合抗體,
14010B,0000120,20040701,29101231,Respiratory syncytial virus Ag,呼吸道融合病毒抗原,
14011B,0000120,20040701,29101231,Respiratory syncytial virus (RSV) CF Ab,呼吸道融合病毒補體結合抗體,
14012B,0000120,20040701,29101231,Varicella-zoster virus CF Ab,水痘帶狀庖疹病毒補體結合抗體,
14013B,0001080,20040701,29101231,Varicella-zoster virus IgM,水痘帶狀庖疹病毒IgM抗體,
14014B,0000120,20040701,29101231,Mycoplasma pneumoniae CF Ab,肺炎漿胞菌補體結合抗體,
14015B,0000150,20090101,29101231,Parainfluenza virus type 1 Ag,副流行性感冒病毒1型抗原,執行二項(含二項)以上副流行性感冒病毒抗原檢測者，第二項(含二項)以後一律八折支付
14016B,0000150,20090101,29101231,Parainfluenza virus type 2 Ag,副流行性感冒病毒2型抗原,執行二項(含二項)以上副流行性感冒病毒抗原檢測者，第二項(含二項)以後一律八折支付。
14017B,0000145,20040701,29101231,Parainfluenza type 1 CF Ab,副流行性感冒病毒1型補體結合抗體,
14018B,0000145,20040701,29101231,Parainfluenza type 2 CF Ab,副流行性感冒病毒2型補體結合抗體,
14019B,0000145,20040701,29101231,Parainfluenza type 3 CF Ab,副流行性感冒病毒3型補體結合抗體,
14020B,0000110,20040701,29101231,Influenza A CF Ab,流行性感冒Ａ型病毒補體結合抗體,
14021B,0000110,20040701,29101231,Influenza B CF Ab,流行性感冒Ｂ型病毒補體結合抗體,
14022B,0000145,20040701,29101231,Japanese encephalitis CF Ab,日本腦炎病毒補體結合抗體,
14023B,0000150,20040701,29101231,Coxsackie B virus Ab (each),柯沙奇Ｂ型病毒抗體(每項),
14024B,0000850,20120101,29101231,Coxsackie virus CF Ab (type B1-B6),柯沙奇Ｂ型病毒補體結合抗體(B1-B6),
14025C,0000150,20040701,29101231,Entero virus type 70 Ab,腸內病毒70抗體,
14026B,0000280,19950301,29101231,ROTA VIRUS Ag,輪狀病毒抗原,
14027C,0000120,20040701,29101231,Rota virus Ab,輪狀病毒抗體,
14028B,0000220,20040701,29101231,Reo virus Ab,呼腸弧病毒抗體,
14029B,0000145,20040701,29101231,Polio virus type Ⅰ.Ⅱ.Ⅲ Ab each,小兒麻痺病毒第1.2.3 型抗體各項,
14030C,0000080,20120101,29101231,HBsAg-Latex,Ｂ型肝炎表面抗原,
14031C,0000100,20120101,29101231,HBsAg-RPHA,Ｂ型肝炎表面抗原,
14032C,0000160,20120101,29101231,HBsAg (EIA/LIA),Ｂ型肝炎表面抗原,
14033C,0000200,20120101,29101231,Anti HBs,Ｂ型肝炎表面抗體,
14034C,0000110,20120101,29101231,HBeAg--RPHA,B型肝炎e抗原檢查 HBeAg－RPHA 法,
14035C,0000250,20120101,29101231,HBeAg (EIA/LIA),B型肝炎e抗原檢查 HBeAg,
14036C,0000250,20120101,29101231,Anti-HBe（EIA/LIA）,Ｂ型肝炎Ｅ抗體檢查,
14037C,0000250,20120101,29101231,Anti-HBc（EIA/LIA）,Ｂ型肝炎核心抗體檢查,
14038C,0000315,20120101,29101231,Anti-HBc IgM (EIA/LIA),Ｂ型肝炎核心抗體免疫球蛋白Ｍ檢查 (EIA/LIA法),
14039C,0000240,20120101,29101231,Anti-HAV IgM（EIA/LIA）,Ａ型肝炎抗體免疫球蛋白Ｍ檢查（EIA/LIA法）,
14040C,0000225,19950301,29101231,Anti HAV,Ａ型肝炎抗體,
14041B,0000320,19950301,29101231,Anti-delta,Ｄ型肝炎抗體檢查,
14042B,0000200,19950301,29101231,Toxoplasma IgG AB,弓漿蟲IgG 抗體,
14043B,0000180,19950301,29101231,Rubella AB titer（ＨＩ法）,德國麻疹血球凝集抗體效價（ＨＩ法）,
14044B,0000240,20120101,29101231,Anti-rubella IgG（EIA/LIA）,德國麻疹免疫球蛋白Ｇ檢查（EIA/LIA法）,
14045B,0000400,20120101,29101231,Anti-rubella IgM（EIA/LIA）,德國麻疹免疫球蛋白Ｍ檢查（EIA/LIA法）,
14046B,0000540,19950301,29101231,EB VCA IgG, IgM, IgA, IFA METHOD, EACH,ＥＢ病毒囊鞘免疫球蛋白Ｇ．Ｍ．Ａ．（ＩＦＡ法）,
14047B,0000960,20040701,29101231,EBNA Ab,EB病毒核抗原抗體,
14048B,0000700,19950301,29101231,Cytomegalo virus IgM Ab,巨細胞病毒核抗原抗體,
14049C,0000240,20120101,29101231,ANTI-HIV TEST (EIA/LIA),後天免疫不全症候群檢查,
14050B,0000300,20120101,29101231,ANTI-HIV TEST PA,後天免疫不全症候群檢查-顆粒凝集法,
14051C,0000250,20120101,29101231,HCV Ab( EIA/LIA),Ｃ型肝炎病毒抗體檢查,
14052B,0000750,20040701,29101231,Herpes simplex virus IgM Ab,單純庖疹病毒 IgM抗體,
14053B,0000150,20040701,29101231,Herpes Simplex Virus-1 Ag  or-2 Ag。,單純庖疹病毒-1或-2抗原,
14054B,0000400,20040701,29101231,Mumps virus IgM,腮腺炎病毒IgM抗體,
14055B,0000090,20031201,29101231,Anti-HBS titer,B型肝炎表面抗體效價檢查,
14056B,0000600,20031201,29101231,Enterovirus 71 IgM antibody,腸病毒71型-IgM抗體快速檢驗試驗,適應症：1.臨床上出現手足口症或庖疹性咽喉炎症狀之患者。2.臨床上出現病毒性腦膜炎、心肌炎、急性心肺衰竭等疑似腸病毒感染之患者。
14057B,0000200,20031201,29101231,Haemophilus influenzae type B test,流行性感冒嗜血桿菌抗原B檢查,
14058B,0000350,20031201,29101231,RSV screening test,呼吸融合細胞病毒試驗,
14059B,0000135,20031201,29101231,CMV Ag test,巨細胞病毒抗原檢查,
14060B,0000135,20031201,29101231,Human herpesvirus-6 antibody,第六型人類庖疹病毒抗體,
14061B,0000120,20031201,29101231,VZV Ag test,水痘-帶狀庖疹抗原檢查,
14062B,0000120,20031201,29101231,Dengue virus 1gM test,登革熱病毒抗體IgM檢查,
14063B,0000120,20031201,29101231,Dengue virus 1gG test,登革熱病毒抗體IgG檢查,
14064B,0000150,20031201,29101231,Adenovirus Ag test,腺病毒抗原檢查,不論何種檢測方式。
14065B,0000150,20031201,20170430,Influenza A Ag,流行性感冒A型病毒抗原,停止原因：診療項目代碼變更為14065C
14065C,0000150,20170501,29101231,Influenza A Ag,流行性感冒A型病毒抗原,除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
14066B,0000150,20031201,20170430,Influenza B Ag,流行性感冒 B 型病毒抗原,停止原因：診療項目代碼變更為14066C
14066C,0000150,20170501,29101231,Influenza B Ag,流行性感冒 B 型病毒抗原,除山地離島地區外，基層院所限由專任醫師開立處方始可申報。
14067B,0000250,20031201,29101231,Toxoplasma-1gM,弓漿蟲病毒IgM間接免疫螢光試驗,
14068B,0000200,20031201,29101231,Varicella/zoster-1gG,帶狀庖疹病毒IgG連?抗體試驗,
14069B,0000180,20031201,29101231,HSV-IgG,單純性庖疹病毒IgG連?抗體試驗,
14070B,0000240,20031201,29101231,Measles Ab (IgG),麻疹病毒抗體IgG,
14071B,0000700,20031201,29101231,T. GONDII Ab (IgM),弓漿蟲抗體,
14072B,0000250,20031201,29101231,RIBA test,C型肝炎確認檢查,
14073B,0002560,20120101,29101231,CMV m-RNA pp67,巨細胞病毒傳訊者核糖核酸pp67,註：1.本項檢查不得做為例行篩檢檢測用。2.適應症限定為器官移植、骨髓移植患者懷疑巨細胞病毒感染後可能發展為疾病之患者。3.檢查次數：器官移植或骨髓移植後每週或每二週作一次，最多連續作三個月。
14074B,0004000,20031201,29101231,HIV viral load test,HIV 病毒負荷量檢查,註：1.限行政院衛生福利部愛滋病指定醫院申報。2.限用於愛滋病治療監測，每人每年限四次。
14075C,0001564,20130101,29101231,HIV-I Ab (Western blot),HIV-I 抗體檢查(西方墨點法),註:1.限行政院衛生福利部愛滋病指定醫院或疾病管制局西方墨點法認可之健保特約醫事服務機構執行。2.限於14049C或14050B陽性時，確定診斷用。
14076C,0001564,20130101,29101231,HIV-II Ab (Western blot),HIV-II  抗體檢查(西方墨點法),註:1.限行政院衛生福利部愛滋病指定醫院或疾病管制局西方墨點法認可之健保特約醫事服務機構執行。2.限於14049C或14050B陽性時，確定診斷用。3.HIV-II限於HIV-I檢查時未出現gp120band。
14077C,0000500,20120101,29101231,CMV Ag pp65,血中白血球巨細胞病毒抗原pp65,
14078C,0000240,20040701,29101231,Anti-HEV IgM,急性E型肝炎抗體,
14079C,0000240,20120101,29101231,Pavovirus B19 IgG,Pavovirus B19 免疫球蛋白G檢查,
14080C,0000800,20120101,29101231,Pavovirus B19 IgM,Pavovirus B19 免疫球蛋白M檢查,
14081B,0000150,20090101,29101231,Parainfluenza virus type 3 Ag,副流行性感冒病毒3型抗原,執行二項(含二項)以上副流行性感冒病毒抗原檢測者，第二項(含二項)以後一律八折支付。
14082B,0000320,20121201,29101231,HIV Ag/Ab Test,人類免疫缺陷病毒抗原/抗體試驗,1.適應症：限於器官移植的捐贈者及接受移植的患者。2.不得同時申報14049C。
15,0000250,20100101,29101231,,,註:本項業務自95.1.1起移歸國民健康局辦理。修改文字詳支付標準
15001C,0000480,20040701,29101231,Body fluid cytology,體液細胞檢查,註:含痰(Sputum)，尿(Urine)，腹水(Ascites)，脊髓液(C.S.F.)，胸水(Pleural Effusion)，心包膜積水(Pericardial effusion)，氣管刷取(bronchial brushing)及氣管沖洗(bronchial washing)等。
15007B,0000667,20040701,29101231,Needle aspiration cytology,穿刺細胞檢查,註:含甲狀腺(Thyroid)，淋巴腺(Lymph node)，乳房(Breast)，肺臟(Lung)，縱膈腔(Mediastinum)，肝臟(Liver)，胰臟(Pancreas)，腫瘤(Mass)穿刺及鼻(Nasal)細胞檢查等。
15017C,0000245,20090101,29101231,Pap's smear (Cytology部分),婦科細胞檢查,1.子宮頸或陰道抹片同一病人3~6個月內限做1次。2.6個月內需重新施做之適應症：(1)曾罹患過子宮頸癌或癌前病變之婦女(2)最近一次子宮頸抹片檢查結果為異常之婦女(3)免疫功能受抑制的高危險群婦。
15018B,0000990,20040701,29101231,Fluid cytology plus cell block,體液細胞檢查加細胞切片,
15020B,0000265,20031201,29101231,Impint bronchial biopsy-CM,支氣管切片奈印,
15021C,0001200,20120101,29101231,Thin layer cytology,薄片細胞學檢查,子宮頸癌篩檢及診斷不得申報。
15022C,0000360,20080501,29101231,Blood smear interpretation,血液抹片檢查,註：不得與08009C、08013C同時申報。
16,0000320,20100201,29101231,,,註:本項業務自95.1.1起移歸國民健康局管理。
